,precision,recall,f1-score,support
Negative,0.9999643239386372,1.0,0.9999821616511176,28029.0
Positive,1.0,0.9999643226658104,0.9999821610146815,28029.0
avg / total,0.9999821619693186,0.9999821613329052,0.9999821613328996,56058.0
