,precision,recall,f1-score,support
Negative,0.9999642793355956,1.0,0.9999821393488006,27994.0
Positive,1.0,0.9999642780595842,0.9999821387107722,27994.0
avg / total,0.9999821396677977,0.999982139029792,0.9999821390297864,55988.0
