,precision,recall,f1-score,support
Negative,0.999964298464834,1.0,0.9999821489137615,28009.0
Positive,1.0,0.9999642971901889,0.9999821482764162,28009.0
avg / total,0.999982149232417,0.9999821485950945,0.9999821485950888,56018.0
