,precision,recall,f1-score,support
Negative,0.9999643341179827,1.0,0.9999821667409718,28037.0
Positive,1.0,0.9999643328458823,0.999982166104899,28037.0
avg / total,0.9999821670589915,0.9999821664229411,0.9999821664229354,56074.0
