,precision,recall,f1-score,support
Negative,0.999964288265124,1.0,0.9999821438137242,28001.0
Positive,1.0,0.9999642869897504,0.9999821431760146,28001.0
avg / total,0.999982144132562,0.9999821434948751,0.9999821434948695,56002.0
