,precision,recall,f1-score,support
Negative,0.9999643481051018,1.0,0.9999821737347808,28048.0
Positive,1.0,0.9999643468339988,0.9999821730992068,28048.0
avg / total,0.999982174052551,0.9999821734169995,0.9999821734169937,56096.0
