,precision,recall,f1-score,support
Negative,0.9999643124799258,1.0,0.9999821559215575,28020.0
Positive,1.0,0.9999643112062813,0.9999821552847125,28020.0
avg / total,0.999982156239963,0.9999821556031406,0.9999821556031349,56040.0
